ENSAMBLE Gene ID,Kidney1,Liver1,Kidney2,Liver2,Liver3,Kidney3,Liver4,Liver5,Kidney4,Liver6,Kidney5,Kidney6,Liver7,Kidney7
ENSG00000078808,234,192,212,162,154,180,155,214,268,220,256,242,222,252
ENSG00000176022,25,38,21,32,28,28,22,45,39,45,35,30,27,25
ENSG00000184163,2,2,4,3,3,4,2,4,3,4,4,3,2,3
ENSG00000160087,66,58,66,56,64,58,53,62,59,59,64,66,62,56
ENSG00000162572,11,4,6,7,7,6,3,9,12,7,12,12,8,6
ENSG00000131584,78,51,71,38,25,72,48,66,75,54,78,83,58,101
ENSG00000169972,18,27,23,36,20,23,28,27,28,32,18,13,25,21
ENSG00000127054,98,68,108,76,48,77,60,63,108,78,105,105,68,88
ENSG00000187488,7,0,2,2,3,1,0,1,3,1,3,4,2,3
ENSG00000215792,7,0,2,2,3,1,0,1,3,1,3,4,2,3
ENSG00000169962,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000107404,7,6,11,3,2,10,2,3,13,3,9,10,4,7
ENSG00000162576,15,3,7,4,1,8,0,0,16,3,21,10,4,20
ENSG00000175756,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116148,5,2,5,1,1,4,3,3,6,2,12,5,3,3
ENSG00000131586,2,0,3,0,0,2,0,1,0,0,4,2,0,4
ENSG00000205116,3,0,0,0,0,3,0,0,1,0,3,0,0,2
ENSG00000179403,9,9,8,10,5,13,9,15,11,13,11,12,20,13
ENSG00000215915,0,1,0,0,2,0,1,1,0,0,0,0,0,0
ENSG00000160072,4,2,2,5,4,2,2,5,3,4,3,5,5,5
ENSG00000197785,14,30,21,24,17,18,17,18,16,29,25,27,24,23
ENSG00000205090,1,0,0,0,0,0,0,0,4,0,0,1,0,0
ENSG00000160075,112,96,114,94,78,117,72,87,128,102,110,120,80,102
ENSG00000215791,6,4,3,3,1,2,2,4,3,4,4,2,2,4
ENSG00000197118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197530,44,30,43,30,29,34,25,45,61,32,72,48,40,60
ENSG00000189409,0,0,0,0,0,0,0,1,0,0,1,1,1,0
ENSG00000215914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000189229,16,13,24,22,9,19,10,15,23,14,24,19,9,17
ENSG00000189339,49,23,58,16,25,35,15,21,68,21,53,43,19,48
ENSG00000008128,50,56,60,78,53,46,58,48,54,64,46,64,52,58
ENSG00000215790,2,0,2,0,0,4,1,0,5,3,4,1,4,5
ENSG00000008130,79,173,82,153,161,91,145,169,93,204,63,80,148,84
ENSG00000078369,848,316,838,320,360,836,314,282,852,351,756,884,300,744
ENSG00000169885,0,5,0,1,4,1,4,4,0,8,1,0,2,0
ENSG00000178821,1,7,2,4,8,2,3,7,2,6,3,5,6,3
ENSG00000205073,0,6,0,13,3,0,7,11,0,2,0,0,5,0
ENSG00000185011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142609,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187730,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000067606,72,23,68,39,25,66,19,32,74,27,57,85,43,69
ENSG00000205069,0,0,1,1,0,0,1,0,0,0,1,1,0,0
ENSG00000182873,3,2,3,1,5,3,1,2,5,3,4,10,1,4
ENSG00000162585,49,25,47,31,28,48,18,33,57,31,43,61,43,53
ENSG00000186423,4,2,7,5,2,2,5,3,5,5,5,5,3,7
ENSG00000215985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000183472,0,1,0,1,2,0,0,2,0,1,0,1,1,0
ENSG00000157933,63,35,59,30,29,65,27,30,72,41,61,66,41,61
ENSG00000116151,13,2,10,1,0,5,6,1,10,3,10,12,1,11
ENSG00000178642,11,2,7,3,2,7,4,1,4,2,9,12,2,5
ENSG00000157916,340,339,315,330,346,339,331,309,401,382,310,367,352,297
ENSG00000157911,100,108,99,102,121,108,125,94,148,128,92,148,119,106
ENSG00000149527,15,8,8,6,5,15,7,5,12,8,16,19,5,23
ENSG00000157881,43,20,46,20,18,50,21,19,44,20,44,44,29,42
ENSG00000197921,0,0,0,0,2,2,0,0,0,1,0,0,3,0
ENSG00000205049,0,1,0,1,1,1,0,0,0,0,1,1,1,0
ENSG00000157873,88,54,105,68,64,83,61,52,105,64,127,131,64,97
ENSG00000157870,56,25,50,14,13,66,21,14,82,17,71,58,9,56
ENSG00000142606,11,5,5,4,1,6,4,2,14,1,6,9,2,10
ENSG00000215913,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000215912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000177133,142,2,160,1,3,140,3,3,176,0,166,180,0,185
ENSG00000169717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000177121,85,0,84,1,0,60,1,2,89,0,93,98,0,75
ENSG00000142611,47,2,37,2,3,44,1,2,45,4,51,54,0,48
ENSG00000130762,58,3,60,1,8,51,2,6,61,1,55,56,3,59
ENSG00000162591,29,20,20,38,23,16,26,20,27,26,26,21,31,26
ENSG00000207776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000158109,188,204,200,232,230,184,209,200,200,260,168,228,219,184
ENSG00000116213,18,10,28,13,21,15,22,20,23,18,19,28,8,16
ENSG00000078900,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ENSG00000187648,7,3,4,2,5,4,1,1,10,3,5,4,2,5
ENSG00000162592,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000130764,108,90,86,98,90,114,76,91,106,119,108,106,97,88
ENSG00000116198,84,50,87,39,46,88,46,33,80,42,95,106,43,73
ENSG00000169598,6,12,17,10,8,12,13,7,13,8,9,10,6,10
ENSG00000198912,55,32,40,31,25,39,26,16,51,32,56,57,19,31
ENSG00000196581,8,1,11,2,2,18,2,2,12,3,12,12,0,8
ENSG00000216045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000131697,22,10,17,12,9,24,4,10,25,5,18,23,13,19
ENSG00000069424,93,17,67,25,23,72,17,33,84,23,82,81,22,71
ENSG00000116254,4,0,4,2,0,6,2,1,4,0,1,5,0,6
ENSG00000116251,315,140,308,158,164,330,144,115,358,174,272,364,132,251
ENSG00000158286,55,24,61,30,25,61,23,35,66,38,73,65,31,53
ENSG00000116237,176,60,164,68,53,148,51,32,173,52,146,184,42,163
ENSG00000181563,0,2,1,0,2,1,0,1,1,0,0,2,1,0
ENSG00000173673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000158292,4,19,8,19,15,4,20,17,8,16,6,7,24,7
ENSG00000097021,86,17,78,18,28,81,13,25,88,15,73,90,28,94
ENSG00000204902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000069812,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187017,102,138,84,137,112,83,131,178,108,146,108,107,173,102
ENSG00000215788,16,5,7,5,9,13,9,5,7,7,16,20,6,12
ENSG00000171680,22,5,18,8,6,22,3,4,27,10,27,21,8,30
ENSG00000162408,40,17,33,20,22,43,19,25,38,26,31,39,21,37
ENSG00000209367,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000173662,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204859,26,32,42,38,42,30,29,40,35,36,24,35,38,37
ENSG00000162413,146,70,145,74,67,146,60,66,148,80,148,161,75,147
ENSG00000116273,50,22,40,16,21,37,30,15,52,19,36,41,25,41
ENSG00000041988,21,12,21,13,14,14,21,8,27,13,20,32,14,10
ENSG00000007923,246,100,203,100,88,234,94,107,278,125,234,278,95,242
ENSG00000171735,85,19,92,19,16,108,15,20,82,12,63,88,12,60
ENSG00000175861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207056,0,0,0,0,0,0,2,0,0,0,0,0,2,0
ENSG00000204819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000049245,146,56,135,56,64,143,50,41,155,56,107,154,40,120
ENSG00000049246,94,100,126,111,93,85,86,69,131,99,101,119,73,85
ENSG00000049247,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000212677,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000049249,0,0,0,0,0,0,0,0,1,0,1,1,0,0
ENSG00000209371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116288,364,214,395,229,198,394,171,160,481,208,380,474,195,344
ENSG00000200344,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ENSG00000116285,115,1669,144,1753,1710,115,1675,1313,143,1794,91,153,1298,88
ENSG00000200975,0,1,0,2,1,0,1,0,0,0,0,0,0,0
ENSG00000209383,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000162426,26,0,31,0,1,30,0,0,29,0,30,32,0,34
ENSG00000206757,0,0,2,0,0,0,0,0,0,0,0,0,0,1
ENSG00000142599,464,192,463,191,163,458,155,152,523,176,455,446,174,415
ENSG00000209385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000074800,1499,337,1528,311,336,1318,301,312,1546,343,1401,1551,342,1411
ENSG00000201725,0,0,0,1,0,0,1,0,0,0,0,0,0,0
ENSG00000183445,0,0,0,0,0,0,1,0,1,1,0,0,0,1
ENSG00000131686,0,2,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000212621,0,0,1,2,0,0,0,0,0,0,0,0,0,1
ENSG00000197241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142583,13,0,16,0,1,14,0,0,24,1,17,20,1,17
ENSG00000212602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180758,4,2,5,0,2,5,1,2,7,2,5,7,2,3
ENSG00000207865,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000049239,183,838,232,822,814,179,773,793,207,895,164,199,807,175
ENSG00000171621,13,27,16,30,37,7,24,36,14,35,13,13,50,20
ENSG00000209395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171612,20,20,22,21,23,19,24,16,25,15,26,31,15,17
ENSG00000188807,1,0,5,0,1,9,0,2,3,0,5,5,0,6
ENSG00000171608,16,14,30,18,14,20,14,16,22,19,21,26,30,20
ENSG00000179840,0,0,1,1,1,0,1,0,0,1,0,3,0,0
ENSG00000171603,533,68,576,44,51,556,62,62,635,81,580,581,48,549
ENSG00000204749,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000178585,90,38,75,36,32,82,32,27,84,31,76,72,31,82
ENSG00000162441,32,24,57,28,25,53,14,18,73,23,47,68,16,39
ENSG00000173614,60,21,38,26,22,52,24,22,50,22,45,44,18,38
ENSG00000202415,1,0,0,1,0,0,1,0,0,1,0,0,0,0
ENSG00000162444,26,6,32,4,7,24,4,3,26,4,16,22,7,20
ENSG00000130939,167,85,161,74,77,127,74,84,158,108,125,175,80,143
ENSG00000201746,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000054523,207,129,248,119,119,223,108,89,219,116,193,230,99,169
ENSG00000199562,0,0,0,0,2,0,1,0,0,0,0,0,0,0
ENSG00000142657,166,82,159,63,79,138,78,60,138,89,136,177,86,136
ENSG00000175279,30,8,22,10,6,22,8,9,20,11,16,32,6,22
ENSG00000160049,87,50,74,44,42,90,42,51,105,44,59,92,52,76
ENSG00000142655,36,38,36,34,22,25,39,47,44,37,42,40,47,50
ENSG00000209421,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000130940,36,7,44,4,2,43,4,3,56,9,54,45,3,50
ENSG00000175262,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000215785,1,4,0,1,0,0,1,1,0,0,0,0,1,0
ENSG00000207213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000120948,152,138,181,131,122,176,108,101,179,120,159,178,95,133
ENSG00000009724,10,162,12,145,132,10,139,132,9,174,6,9,160,6
ENSG00000116649,37,37,32,42,43,44,40,49,54,47,42,47,50,53
ENSG00000171824,104,44,108,51,49,111,60,56,86,56,94,118,50,70
ENSG00000198793,204,113,198,133,119,174,119,110,226,124,186,224,102,164
ENSG00000209426,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000171819,0,2,2,1,1,1,1,3,0,2,2,0,0,0
ENSG00000207451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000120942,11,4,3,3,4,2,2,5,11,2,9,7,6,4
ENSG00000204624,3,0,0,0,0,0,0,0,3,0,0,1,0,0
ENSG00000116661,43,11,18,8,12,30,8,12,42,4,42,30,8,42
ENSG00000132879,102,30,78,32,24,76,22,39,113,25,100,96,32,82
ENSG00000116663,6,8,6,3,6,1,9,5,4,9,7,12,10,8
ENSG00000116670,24,34,33,25,20,26,15,18,33,27,37,23,28,31
ENSG00000162490,1,0,0,0,1,0,0,2,3,0,0,2,0,1
ENSG00000177674,75,9,53,15,7,62,9,17,74,9,47,56,17,63
ENSG00000177553,0,0,0,0,1,0,0,0,1,0,0,0,0,0
ENSG00000215910,5,4,18,3,5,7,1,4,15,6,11,13,2,13
ENSG00000177000,130,29,146,28,34,108,28,24,134,33,122,130,31,104
ENSG00000116685,34,29,30,28,22,24,17,30,33,28,36,29,28,40
ENSG00000011021,21,3,16,3,4,15,6,5,6,2,13,13,7,15
ENSG00000175206,2,2,4,0,3,3,3,2,4,2,2,4,2,8
ENSG00000120937,0,0,0,1,0,0,0,1,1,0,0,0,0,0
ENSG00000199347,8,0,5,2,1,2,2,1,2,2,1,6,1,2
ENSG00000201801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000083444,210,173,208,164,172,158,157,184,209,162,172,188,178,169
ENSG00000116688,117,71,134,72,72,122,68,50,124,68,108,115,60,90
ENSG00000116691,16,16,27,22,22,19,19,19,28,28,20,19,16,19
ENSG00000202461,0,0,1,0,0,0,0,0,1,0,2,2,0,0
ENSG00000209447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000120949,1,0,1,0,1,0,0,1,4,1,1,2,0,2
ENSG00000201135,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000028137,21,47,16,50,45,25,46,49,25,68,18,22,37,19
ENSG00000048707,383,162,393,161,164,349,174,121,420,171,306,418,137,307
ENSG00000209457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000209460,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000209463,0,0,0,1,1,0,2,2,0,0,0,0,0,0
ENSG00000162496,220,524,232,485,484,220,454,437,250,590,248,280,530,248
ENSG00000204518,5,0,7,0,0,2,0,0,4,0,1,4,0,2
ENSG00000188984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000209466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000157330,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116726,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000179172,2,1,7,2,4,3,4,6,5,4,5,13,5,4
ENSG00000120952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116708,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204508,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000179412,0,0,0,1,0,0,0,0,1,0,0,1,0,0
ENSG00000204503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182330,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204488,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000204486,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204485,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000157358,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204480,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204478,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000215909,1,0,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000162493,20,5,26,4,4,39,6,5,37,2,22,40,6,26
ENSG00000212288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116731,116,38,116,42,34,118,36,40,98,48,102,104,38,79
ENSG00000209090,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000189337,28,3,28,3,2,29,2,1,32,5,24,37,1,35
ENSG00000203390,0,0,4,0,0,0,0,0,4,0,1,3,0,0
ENSG00000175147,26,7,28,7,6,23,5,7,43,3,23,17,2,23
ENSG00000171729,119,9,112,10,13,85,11,16,110,21,91,136,10,112
ENSG00000204464,1,0,3,0,0,2,0,0,1,0,1,3,0,2
ENSG00000215720,1,0,3,3,0,6,1,1,5,3,0,3,0,2
ENSG00000142621,2,0,2,0,1,1,1,0,2,0,0,2,0,1
ENSG00000142634,56,62,36,75,57,43,48,64,50,72,54,53,72,50
ENSG00000162438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142615,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000215704,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000132906,61,22,73,22,28,44,18,15,78,22,54,54,15,45
ENSG00000116138,60,22,78,13,16,65,12,14,71,24,61,67,19,51
ENSG00000116771,528,161,613,162,166,536,175,118,598,163,527,624,136,467
ENSG00000142635,1,2,4,0,0,4,1,2,4,2,7,5,0,4
ENSG00000200449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197312,30,11,15,12,7,19,8,6,15,10,11,28,16,15
ENSG00000215695,41,23,46,23,30,27,23,24,37,35,30,55,15,19
ENSG00000116786,100,54,88,39,38,103,48,54,107,48,96,105,58,120
ENSG00000162461,17,9,16,16,12,14,11,15,17,11,14,18,16,18
ENSG00000162460,3,31,15,38,29,16,25,52,18,43,15,19,52,14
ENSG00000162458,46,17,44,28,21,46,13,17,69,23,50,59,21,60
ENSG00000197883,85,10,78,17,9,74,12,7,82,8,84,84,7,67
ENSG00000179743,8,6,12,5,3,8,13,2,13,11,10,10,8,5
ENSG00000065526,197,128,197,125,102,170,126,119,200,130,170,217,106,172
ENSG00000209487,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ENSG00000116809,35,15,45,15,12,28,12,17,52,10,44,41,18,50
ENSG00000183888,25,0,19,0,0,23,1,1,28,0,27,25,0,25
ENSG00000173641,107,17,116,19,13,102,21,21,127,25,93,123,22,106
ENSG00000186510,515,6,564,1,1,516,3,4,568,2,594,590,2,544
ENSG00000184908,484,4,486,2,5,463,4,2,573,3,556,512,2,494
ENSG00000185519,5,0,8,0,0,7,1,0,8,0,9,11,0,14
ENSG00000142627,52,21,50,23,22,45,31,29,59,32,58,51,32,60
ENSG00000142632,8,5,6,2,4,2,4,4,10,1,7,7,2,4
ENSG00000204378,0,0,0,0,0,4,0,1,4,0,1,3,0,0
ENSG00000204377,10,4,8,9,8,7,6,5,10,7,9,16,7,8
ENSG00000132881,10,6,7,9,2,16,1,5,9,4,8,11,4,14
ENSG00000037637,56,30,45,30,18,48,18,27,56,23,49,63,41,69
ENSG00000055070,127,85,133,87,78,125,61,62,148,76,104,155,74,126
ENSG00000187144,0,2,1,1,1,0,0,1,0,1,0,0,0,0
ENSG00000157191,87,76,96,72,72,81,80,65,81,69,80,94,71,80
ENSG00000080947,23,14,21,15,21,27,15,13,42,17,15,23,8,17
ENSG00000206652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197511,0,0,1,0,0,0,0,0,1,0,1,0,0,0
ENSG00000204373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000209511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000209524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000179571,34,20,32,16,17,30,18,18,32,10,19,32,5,32
ENSG00000215908,80,186,75,232,224,58,199,190,88,231,72,86,185,67
ENSG00000186543,14,17,20,24,23,11,27,31,15,40,22,13,31,15
ENSG00000186301,9,132,10,128,116,6,134,145,12,129,17,17,149,14
ENSG00000207513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000157819,46,21,37,14,22,32,13,16,34,23,27,31,11,26
ENSG00000116219,2,3,3,0,0,1,0,0,3,2,6,1,0,3
ENSG00000209530,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000189092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186715,44,88,44,90,106,57,90,99,50,84,45,58,92,42
ENSG00000209540,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000209545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196690,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000199554,0,0,1,0,0,1,0,0,0,0,1,0,0,0
ENSG00000207005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000058453,42,10,39,14,11,32,10,15,47,17,57,44,15,75
ENSG00000117122,0,0,5,0,1,1,0,0,1,0,0,0,0,1
ENSG00000159363,57,7,41,15,12,33,10,12,61,9,47,60,14,57
ENSG00000117118,342,199,349,179,184,375,199,158,385,206,296,413,177,267
ENSG00000117115,115,2,110,2,2,106,2,1,102,2,112,110,2,96
ENSG00000204362,1,0,2,0,0,1,0,0,1,0,0,0,0,0
ENSG00000142623,0,0,2,0,0,1,0,0,0,0,0,1,0,1
ENSG00000142619,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ENSG00000159339,0,0,0,1,0,0,0,0,0,0,0,0,0,2
ENSG00000197996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000179051,40,14,42,24,20,40,14,18,32,14,36,38,16,33
ENSG00000212578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000074964,152,295,140,321,239,139,284,280,155,287,167,180,304,159
ENSG00000117148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000117154,0,2,0,2,2,0,0,0,0,1,0,1,0,0
ENSG00000179023,176,62,158,76,51,138,57,54,169,78,186,182,69,124
ENSG00000124854,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ENSG00000009709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000179002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000159423,808,1150,771,1025,1056,748,993,1082,922,1153,830,906,1168,818
ENSG00000169991,83,39,72,39,42,66,37,36,66,66,70,76,38,60
ENSG00000127481,440,312,471,320,325,444,299,286,469,319,448,500,315,437
ENSG00000127463,70,35,86,45,28,78,22,17,85,20,76,84,22,71
ENSG00000053372,35,40,29,43,42,30,54,30,36,51,23,38,39,31
ENSG00000211454,10,71,12,70,84,10,64,62,12,82,11,14,64,10
ENSG00000162482,132,111,143,120,108,126,114,88,141,88,125,154,92,123
ENSG00000053371,127,75,125,72,76,108,58,63,148,59,138,130,83,122
